Organism,Tudortblastn,PWWPtblastn,MutS,Tudor_domain,Tudor_dist,PWWP_domain,PWWP_dist,Tudor_call,PWWP_call,tipcolor,Genus
Aspergillus indologenus CBS 114.80,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus japonicus CBS 114.51,283177,42999,2,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus lentulus,114597,23424,12,0,792512,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus luchuensis,85815,203494,4,0,316170,0,1190684,Absent,Absent,None,Aspergillus
Aspergillus luchuensis CBS 106.47,119633,1256864,1,0,320575,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus luchuensis IFO 4308,86010,203492,1,0,316358,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus melleus,60765,88165,3,0,3267438,0,161787,Absent,Absent,None,Aspergillus
Aspergillus minisclerotigenes,187200,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus mulundensis,10155,320069,2,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus nanangensis,329317,133390,1,0,Inf,0,132707,Absent,Absent,None,Aspergillus
Aspergillus neoniger CBS 115656,42698,58983,2,0,325090,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus nidulans FGSC A4,113064,381001,3,0,1628944,0,1142653,Absent,Absent,None,Aspergillus
Aspergillus niger,86223,47032,38,0,316218,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus niger ATCC 1015,Inf,413900,1,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus niger ATCC 13496,Inf,413888,1,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus niger CBS 101883,808571,161559,2,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus niger CBS 513.88,1975286,159376,1,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus nomiae NRRL 13137,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus novofumigatus IBT 16806,813549,45454,2,0,816667,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus novoparasiticus,72027,202343,1,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus ochraceoroseus,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus ochraceoroseus IBT 24754,525038,216782,1,0,1029040,0,215686,Absent,Absent,None,Aspergillus
Aspergillus oryzae,186810,64272,5,0,Inf,0,63210,Absent,Absent,None,Aspergillus
Aspergillus oryzae 100-8,Inf,64272,1,0,Inf,0,63210,Absent,Absent,None,Aspergillus
Aspergillus oryzae 3.042,Inf,84576,1,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus oryzae var. brunneus,186888,64275,1,0,Inf,0,66326,Absent,Absent,None,Aspergillus
Aspergillus parasiticus,68924,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus parasiticus SU-1,68775,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus phoenicis ATCC 13157,518298,400147,1,0,Inf,0,1631659,Absent,Absent,None,Aspergillus
Aspergillus piperis CBS 112811,85463,1449836,2,0,321393,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus pseudocaelatus,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus pseudonomiae,Inf,109316,3,0,Inf,0,682001,Absent,Absent,None,Aspergillus
Aspergillus pseudotamarii,Inf,65344,1,0,Inf,0,68120,Absent,Absent,None,Aspergillus
Aspergillus pseudoviridinutans,775304,432464,2,0,776357,0,1570215,Absent,Absent,None,Aspergillus
Aspergillus puulaauensis,58608,961681,2,0,711494,0,1757062,Absent,Absent,None,Aspergillus
Aspergillus rambellii,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus ruber CBS 135680,697478,105490,1,0,897575,0,352240,Absent,Absent,None,Aspergillus
Aspergillus saccharolyticus JOP 1030-1,149422,43187,2,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus sclerotialis,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus sclerotiicarbonarius CBS 121057,125319,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus sclerotioniger CBS 115572,243706,218060,2,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus sergii,75790,191891,1,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus sp. HF37,Inf,50046,1,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus steynii IBT 23096,91069,589889,2,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus taichungensis,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus tamarii,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus tanneri,294211,41283,3,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus terreus,116196,60038,3,0,1200004,0,610405,Absent,Absent,None,Aspergillus
Aspergillus terreus NIH2624,126416,1080437,1,0,1204860,0,1079369,Absent,Absent,None,Aspergillus
Aspergillus thermomutatus,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus transmontanensis,68538,192325,1,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus tubingensis,86223,76075,8,0,317028,0,1040739,Absent,Absent,None,Aspergillus
Aspergillus tubingensis CBS 134.48,85671,454491,1,0,318663,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus turcosus,36422,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus udagawae,287825,587114,7,0,1137954,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus uvarum CBS 121591,90129,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus vadensis CBS 113365,64993,416949,2,0,683692,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus versicolor CBS 583.65,45355,230351,2,0,2247647,0,2738818,Absent,Absent,None,Aspergillus
Aspergillus violaceofuscus CBS 115571,Inf,43034,1,0,Inf,0,322771,Absent,Absent,None,Aspergillus
Aspergillus viridinutans,69709,987554,2,0,Inf,0,986465,Absent,Absent,None,Aspergillus
Aspergillus welwitschiae,1436288,1210700,2,0,1435593,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus wentii,43982,309927,1,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus wentii DTO 134E9,43986,309842,1,0,1549471,0,1415570,Absent,Absent,None,Aspergillus
Astraeus odoratus,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Astraeus
Astrephomene gubernaculifera,3795711,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Astrephomene
Astrocystis sublimbata,Inf,92267,1,0,Inf,0,Inf,Absent,Absent,None,Astrocystis
Astyanax mexicanus,Inf,1753,3,0,Inf,6,1937,Absent,Present,PWWP,Astyanax
Athalia rosae,2084569,474948,2,0,27026267,0,480036,Absent,Absent,None,Athalia
Athelia sp. TMB,Inf,5010,2,0,Inf,0,Inf,Absent,Absent,None,Athelia
Athene cunicularia,Inf,4720,3,0,Inf,2,24,Absent,Present,PWWP,Athene
Atlantisia rogersi,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Atlantisia
Atractiella rhizophila,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Atractiella
Atractosteus spatula,Inf,1210,1,0,Inf,2,7608,Absent,Present,PWWP,Atractosteus
Atrichornis clamosus,Inf,4471,1,0,Inf,2,12434,Absent,Present,PWWP,Atrichornis
Atta cephalotes,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Atta
Atta colombica,Inf,3043592,2,0,Inf,0,Inf,Absent,Absent,None,Atta
Auanema sp. JU1783,21015,20512,1,0,Inf,0,39114,Absent,Absent,None,Auanema
Aulographum hederae CBS 113979,Inf,246097,1,0,Inf,0,Inf,Absent,Absent,None,Aulographum
Aureobasidium melanogenum CBS 110374,Inf,70191,2,0,Inf,0,Inf,Absent,Absent,None,Aureobasidium
Aureobasidium mustum,21253,254295,1,0,559403,0,348791,Absent,Absent,None,Aureobasidium
Aureobasidium namibiae CBS 147.97,209025,319028,2,0,Inf,0,Inf,Absent,Absent,None,Aureobasidium
Aureobasidium pullulans,12558,33313,55,0,158629,0,35178,Absent,Absent,None,Aureobasidium
Aureobasidium pullulans EXF-150,12650,227280,2,0,164601,0,770891,Absent,Absent,None,Aureobasidium
Aureobasidium sp. EXF-10727,Inf,7670,1,0,Inf,0,Inf,Absent,Absent,None,Aureobasidium
Aureobasidium sp. EXF-10728,Inf,113434,1,0,Inf,0,Inf,Absent,Absent,None,Aureobasidium
Aureobasidium sp. EXF-12298,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Aureobasidium
Aureobasidium sp. EXF-12344,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Aureobasidium
Aureobasidium sp. EXF-3399,271329,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Aureobasidium
Aureobasidium sp. EXF-3400,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Aureobasidium
Aureobasidium sp. EXF-8845,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Aureobasidium
Aureobasidium sp. EXF-8846,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Aureobasidium
Aureobasidium subglaciale EXF-2481,139379,176709,2,0,138570,0,Inf,Absent,Absent,None,Aureobasidium
Aureobasidium uvarum,16305,753543,1,0,44896,0,756338,Absent,Absent,None,Aureobasidium
Aureobasidium vineae,29794,455796,1,0,230911,0,Inf,Absent,Absent,None,Aureobasidium
Aureococcus anophagefferens,662,29814,5,9,75,0,698421,Present,Absent,Tudor,Aureococcus
Auricularia subglabra TFB-10046 SS5,448041,Inf,2,0,447514,0,Inf,Absent,Absent,None,Auricularia
Auriculariales sp. MPI-PUGE-AT-0066,Inf,20022,1,0,Inf,0,Inf,Absent,Absent,None,Auriculariales
Auriculariopsis ampla,184483,20345,1,0,Inf,0,Inf,Absent,Absent,None,Auriculariopsis
Auriscalpium vulgare,11125,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Auriscalpium
Austropuccinia psidii MF-1,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Austropuccinia
Auxenochlorella protothecoides,887,7820,3,6,279,0,Inf,Present,Absent,Tudor,Auxenochlorella
Babesia bovis T2Bo,51003,69242,2,0,488493,0,72165,Absent,Absent,None,Babesia
Babesia caballi,59002,54149,1,0,Inf,0,346641,Absent,Absent,None,Babesia
Babesia microti strain RI,168651,87421,2,0,Inf,0,724388,Absent,Absent,None,Babesia
Babesia ovata,14252,368560,2,0,Inf,0,370795,Absent,Absent,None,Babesia
Babesia ovis,303459,24302,1,0,Inf,0,64733,Absent,Absent,None,Babesia
Babesia sp. Xinjiang,21023,90280,1,0,Inf,0,122791,Absent,Absent,None,Babesia
Babjeviella inositovora NRRL Y-12698,212264,31785,2,0,327004,0,119728,Absent,Absent,None,Babjeviella
Bachmanniomyces sp. S44760,18657,5539,1,0,Inf,0,Inf,Absent,Absent,None,Bachmanniomyces
Bacidia gigantensis,37738,214150,2,0,36871,0,215083,Absent,Absent,None,Bacidia
Backusella circina FSU 941,Inf,51916,1,0,Inf,0,Inf,Absent,Absent,None,Backusella
Bactrocera neohumeralis,Inf,29872514,1,0,Inf,0,Inf,Absent,Absent,None,Bactrocera
Bactrocera oleae,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Bactrocera
Bactrocera tryoni,Inf,35496360,1,0,Inf,0,Inf,Absent,Absent,None,Bactrocera
Bagarius yarrelli,Inf,1182,2,0,Inf,2,2633,Absent,Present,PWWP,Bagarius
Balaeniceps rex,Inf,4609,1,0,Inf,2,14735,Absent,Present,PWWP,Balaeniceps
Balaenoptera physalus,Inf,3862,1,0,Inf,2,4114,Absent,Present,PWWP,Balaenoptera
Balearica regulorum gibbericeps,Inf,4673,1,0,Inf,2,18,Absent,Present,PWWP,Balearica
Bambusicola thoracicus,Inf,3346,1,0,Inf,2,9426,Absent,Present,PWWP,Bambusicola
Baryphthengus martii,Inf,4305,1,0,Inf,2,21,Absent,Present,PWWP,Baryphthengus
Bathelium mastoideum,205170,97181,2,0,Inf,0,Inf,Absent,Absent,None,Bathelium
Bathycoccus prasinos,51771,106070,4,0,Inf,0,231423,Absent,Absent,None,Bathycoccus
Batrachochytrium dendrobatidis,383139,Inf,3,0,808338,0,Inf,Absent,Absent,None,Batrachochytrium
Batrachochytrium dendrobatidis JAM81,840578,329691,1,0,846352,0,327655,Absent,Absent,None,Batrachochytrium
Batrachochytrium dendrobatidis JEL423,842482,333200,1,0,848255,0,331164,Absent,Absent,None,Batrachochytrium
Baudoinia panamericana UAMH 10762,32047,22402,2,0,Inf,0,Inf,Absent,Absent,None,Baudoinia
Bauhinia variegata,1339,804515,1,2,7604,0,803855,Present,Absent,Tudor,Bauhinia
Beauveria bassiana,90060,214734,4,0,3833179,0,3814457,Absent,Absent,None,Beauveria
Beauveria bassiana ARSEF 2860,90292,503524,2,0,Inf,0,Inf,Absent,Absent,None,Beauveria
Beauveria bassiana D1-5,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Beauveria
Beauveria brongniartii RCEF 3172,28356,24712,1,0,Inf,0,Inf,Absent,Absent,None,Beauveria
Belonocnema kinseyi,Inf,593640,2,0,Inf,0,10645298,Absent,Absent,None,Belonocnema
Bemisia tabaci,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Bemisia
Benjaminiella poitrasii,2172328,93271,1,0,2171491,0,547812,Absent,Absent,None,Benjaminiella
Besnoitia besnoiti,938225,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Besnoitia
Beta vulgaris subsp. vulgaris,1074,273212,4,6,8409,0,1839819,Present,Absent,Tudor,Beta
Betta splendens,Inf,922,1,0,Inf,2,481,Absent,Present,PWWP,Betta
Bicyclus anynana,Inf,Inf,4,0,Inf,0,Inf,Absent,Absent,None,Bicyclus
Bifiguratus adelaidae,Inf,9525,1,0,Inf,0,Inf,Absent,Absent,None,Bifiguratus
Bimuria novae-zelandiae CBS 107.79,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Bimuria
Biomphalaria glabrata,Inf,4228,3,0,Inf,6,1850,Absent,Present,PWWP,Biomphalaria
Biomphalaria pfeifferi,Inf,3960,1,0,Inf,2,1488,Absent,Present,PWWP,Biomphalaria
Biscogniauxia marginata,Inf,81427,1,0,Inf,0,Inf,Absent,Absent,None,Biscogniauxia
Biscogniauxia mediterranea,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Biscogniauxia
Bison bison bison,Inf,4476,2,0,Inf,2,10468,Absent,Present,PWWP,Bison
Bisporella sp. PMI_857,Inf,197693,1,0,Inf,0,Inf,Absent,Absent,None,Bisporella
Blakeslea trispora,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Blakeslea
Blastocladiella emersonii ATCC 22665,1642165,255799,1,0,Inf,0,253106,Absent,Absent,None,Blastocladiella
Blastocystis sp. subtype 4,786,Inf,1,2,231,0,Inf,Present,Absent,Tudor,Blastocystis
Blastomyces dermatitidis ATCC 18188,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Blastomyces
Blastomyces dermatitidis ATCC 26199,Inf,232995,1,0,Inf,0,Inf,Absent,Absent,None,Blastomyces
Blastomyces dermatitidis ER-3,Inf,2088340,2,0,Inf,0,3251738,Absent,Absent,None,Blastomyces
Blastomyces gilchristii SLH14081,Inf,3460907,1,0,Inf,0,3459728,Absent,Absent,None,Blastomyces
Blastomyces parvus,Inf,25981,1,0,Inf,0,Inf,Absent,Absent,None,Blastomyces
Blastomyces percursus,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Blastomyces
Blastosporella zonata,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Blastosporella
Blepharisma stoltei,Inf,134094,1,0,Inf,0,Inf,Absent,Absent,None,Blepharisma
Blomia tropicalis,137206,813,2,0,Inf,4,353,Absent,Present,PWWP,Blomia
Blumeria graminis f. sp. triticale,Inf,672541,1,0,Inf,0,1385173,Absent,Absent,None,Blumeria
Blumeria graminis f. sp. tritici,Inf,472440,1,0,Inf,0,1372073,Absent,Absent,None,Blumeria
Blumeria graminis f. sp. tritici 96224,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Blumeria
Blumeria hordei,755726,2242172,1,0,Inf,0,Inf,Absent,Absent,None,Blumeria
Blumeria hordei DH14,768496,958385,1,0,Inf,0,Inf,Absent,Absent,None,Blumeria
Blyttiomyces sp. JEL0837,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Blyttiomyces
Bodo saltans,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Bodo
Boeremia exigua,60477,241250,2,0,Inf,0,Inf,Absent,Absent,None,Boeremia
Bogoriella megaspora,107570,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Bogoriella
Boleophthalmus pectinirostris,Inf,981,2,0,Inf,4,25,Absent,Present,PWWP,Boleophthalmus
Boletus coccyginus,34259,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Boletus
Boletus reticuloceps,Inf,16072,1,0,Inf,0,Inf,Absent,Absent,None,Boletus
Bombardia bombarda,62343,98055,1,0,Inf,0,101341,Absent,Absent,None,Bombardia
Bombina bombina,Inf,3210,1,0,Inf,2,122123,Absent,Present,PWWP,Bombina
Bombus affinis,Inf,13167143,1,0,Inf,0,Inf,Absent,Absent,None,Bombus
Bombus bifarius,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Bombus
Bombus huntii,Inf,404848,1,0,Inf,0,Inf,Absent,Absent,None,Bombus
Bombus impatiens,Inf,414692,1,0,Inf,0,Inf,Absent,Absent,None,Bombus
Bombus pyrosoma,Inf,4287545,3,0,Inf,0,Inf,Absent,Absent,None,Bombus
Bombus terrestris,Inf,5808571,2,0,Inf,0,Inf,Absent,Absent,None,Bombus
Bombus vancouverensis nearcticus,Inf,403257,1,0,Inf,0,Inf,Absent,Absent,None,Bombus
Bombus vosnesenskii,Inf,404338,1,0,Inf,0,Inf,Absent,Absent,None,Bombus
Bombyx mandarina,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Bombyx
Bondarzewia mesenterica,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Bondarzewia
Boothiomyces macroporosus,Inf,24014,1,0,Inf,0,Inf,Absent,Absent,None,Boothiomyces
Boothiomyces sp. JEL0838,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Boothiomyces
Boothiomyces sp. JEL0866,Inf,23531,1,0,Inf,0,Inf,Absent,Absent,None,Boothiomyces
Borealophlyctis nickersoniae,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Borealophlyctis
Bos indicus x Bos taurus,Inf,4525,1,0,Inf,2,10454,Absent,Present,PWWP,Bos
Bos mutus,Inf,4473,6,0,Inf,8,0,Absent,Present,PWWP,Bos
Bos taurus,Inf,4480,6,0,Inf,12,0,Absent,Present,PWWP,Bos
Botryosphaeria dothidea,1093486,18483,1,0,Inf,0,12874,Absent,Absent,None,Botryosphaeria
Botryotinia convoluta,Inf,123967,1,0,Inf,0,Inf,Absent,Absent,None,Botryotinia
Botryotinia globosa,1190078,126379,1,0,1189362,0,263022,Absent,Absent,None,Botryotinia
Botryotinia narcissicola,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Botryotinia
Botrytis aclada,Inf,126606,1,0,Inf,0,269282,Absent,Absent,None,Botrytis
Botrytis byssoidea,Inf,165684,2,0,Inf,0,Inf,Absent,Absent,None,Botrytis
Botrytis cinerea B05.10,15246,34207,4,0,903980,0,178168,Absent,Absent,None,Botrytis
Botrytis cinerea BcDW1,15177,24481,1,0,Inf,0,114486,Absent,Absent,None,Botrytis
Botrytis cinerea T4,15180,34208,1,0,Inf,0,Inf,Absent,Absent,None,Botrytis
Botrytis deweyae,Inf,133871,2,0,Inf,0,Inf,Absent,Absent,None,Botrytis
Botrytis elliptica,Inf,126628,2,0,Inf,0,288604,Absent,Absent,None,Botrytis
Botrytis fragariae,Inf,122430,2,0,Inf,0,240147,Absent,Absent,None,Botrytis
Botrytis galanthina,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Botrytis
Botrytis hyacinthi,Inf,126579,1,0,Inf,0,256747,Absent,Absent,None,Botrytis
Botrytis paeoniae,Inf,125259,1,0,Inf,0,253012,Absent,Absent,None,Botrytis
Botrytis porri,Inf,129633,3,0,Inf,0,250492,Absent,Absent,None,Botrytis
Botrytis sinoallii,1594920,128316,2,0,Inf,0,382396,Absent,Absent,None,Botrytis
Botrytis tulipae,Inf,125388,1,0,Inf,0,Inf,Absent,Absent,None,Botrytis
Brachionus calyciflorus,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Brachionus
Brachionus plicatilis,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Brachionus
Brachypodius atriceps,Inf,4091,1,0,Inf,2,11889,Absent,Present,PWWP,Brachypodius
Brachypteracias leptosomus,Inf,5279,1,0,Inf,2,14094,Absent,Present,PWWP,Brachypteracias
Bradysia coprophila,17199950,2951565,1,0,Inf,0,Inf,Absent,Absent,None,Bradysia
Bradysia odoriphaga,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Bradysia
Branchiostoma belcheri,Inf,4008,2,0,Inf,4,19058,Absent,Present,PWWP,Branchiostoma
Branchiostoma lanceolatum,Inf,4623,1,0,Inf,2,508,Absent,Present,PWWP,Branchiostoma
Brassica carinata,760,2176666,2,4,381,0,17052387,Present,Absent,Tudor,Brassica
Brassica cretica,763,803240,2,4,5758,0,1252444,Present,Absent,Tudor,Brassica
Brassica napus,740,1951304,5,10,438,0,1956736,Present,Absent,Tudor,Brassica
Brassica rapa,1097,1962347,2,4,6663,0,1966552,Present,Absent,Tudor,Brassica
Brassica rapa subsp. trilocularis,1099,1914583,1,2,6537,0,1918660,Present,Absent,Tudor,Brassica
Brassicogethes aeneus,14056463,368477,1,0,14062157,0,Inf,Absent,Absent,None,Brassicogethes
Bremia lactucae,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Bremia
Brenthis ino,Inf,4598868,2,0,Inf,0,Inf,Absent,Absent,None,Brenthis
Brettanomyces bruxellensis AWRI1499,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Brettanomyces
Brettanomyces naardenensis,Inf,562511,1,0,Inf,0,Inf,Absent,Absent,None,Brettanomyces
Brettanomyces nanus,56269,358982,2,0,906530,0,850455,Absent,Absent,None,Brettanomyces
Brienomyrus brachyistius,Inf,1106,2,0,Inf,3,48,Absent,Present,PWWP,Brienomyrus
Brugia malayi,10753422,618698,2,0,Inf,0,3577444,Absent,Absent,None,Brugia
Brugia pahangi,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Brugia
Brugia timori,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Brugia
Bryopsis sp. KO-2023,1886,673538,1,2,486,0,3038278,Present,Absent,Tudor,Bryopsis
Bubalus bubalis,Inf,4540,3,0,Inf,6,10446,Absent,Present,PWWP,Bubalus
Bubalus carabanensis,Inf,4482,3,0,Inf,6,0,Absent,Present,PWWP,Bubalus
Buceros rhinoceros silvestris,Inf,5258,1,0,Inf,2,18,Absent,Present,PWWP,Buceros
Bucorvus abyssinicus,Inf,4303,1,0,Inf,2,21,Absent,Present,PWWP,Bucorvus
Buddleja alternifolia,966,1631839,2,2,8024,0,1631193,Present,Absent,Tudor,Buddleja
Bulinus truncatus,Inf,4678,1,0,Inf,2,523,Absent,Present,PWWP,Bulinus
Burhinus bistriatus,Inf,4733,1,0,Inf,2,21,Absent,Present,PWWP,Burhinus
Bursaphelenchus okinawaensis,308436,488088,2,0,827500,0,1221320,Absent,Absent,None,Bursaphelenchus
Bursaphelenchus xylophilus,1890230,1476939,2,0,2374229,0,1476625,Absent,Absent,None,Bursaphelenchus
Butyriboletus roseoflavus,124513,579792,2,0,Inf,0,Inf,Absent,Absent,None,Butyriboletus
Byssothecium circinans,355975,184221,1,0,Inf,0,Inf,Absent,Absent,None,Byssothecium
Cadophora gregata,325371,195828,1,0,866162,0,Inf,Absent,Absent,None,Cadophora
Cadophora gregata f. sp. sojae,329838,195769,1,0,880387,0,Inf,Absent,Absent,None,Cadophora
Cadophora malorum,Inf,192597,1,0,Inf,0,Inf,Absent,Absent,None,Cadophora
Cadophora sp. DSE1049,33245,143997,1,0,36449,0,Inf,Absent,Absent,None,Cadophora
Cadophora sp. M221,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Cadophora
Caenorhabditis angaria,1110229,282230,2,0,Inf,0,1584130,Absent,Absent,None,Caenorhabditis
Caenorhabditis auriculariae,Inf,2194686,1,0,Inf,0,Inf,Absent,Absent,None,Caenorhabditis
Caenorhabditis bovis,Inf,226564,1,0,Inf,0,Inf,Absent,Absent,None,Caenorhabditis
Caenorhabditis brenneri,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Caenorhabditis
Caenorhabditis briggsae,3041317,1090069,8,0,Inf,0,1245987,Absent,Absent,None,Caenorhabditis
Caenorhabditis elegans,2331394,612341,2,0,Inf,0,2046138,Absent,Absent,None,Caenorhabditis
Caenorhabditis remanei,3469589,47969,3,0,3775339,0,1244697,Absent,Absent,None,Caenorhabditis
Caenorhabditis sp. 36 PRJEB53466,3147373,409652,1,0,Inf,0,412862,Absent,Absent,None,Caenorhabditis
Caerostris darwini,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Caerostris
Caerostris extrusa,Inf,Inf,3,0,Inf,0,Inf,Absent,Absent,None,Caerostris
Caeruleum heppii,54484,81146,1,0,Inf,0,Inf,Absent,Absent,None,Caeruleum
Cafeteria roenbergensis,1059,Inf,4,4,45,0,Inf,Present,Absent,Tudor,Cafeteria
Cajanus cajan,1429,6127519,2,4,8692,0,Inf,Present,Absent,Tudor,Cajanus
Calcarius ornatus,Inf,4102,1,0,Inf,2,21,Absent,Present,PWWP,Calcarius
Calidris pugnax,Inf,4893,1,0,Inf,2,24,Absent,Present,PWWP,Calidris
Caligus rogercresseyi,Inf,3330796,2,0,Inf,0,16519096,Absent,Absent,None,Caligus
Callaeas wilsoni,Inf,4169,1,0,Inf,2,21,Absent,Present,PWWP,Callaeas
Callipepla squamata,Inf,2638,1,0,Inf,2,7914,Absent,Present,PWWP,Callipepla
Callithrix jacchus,Inf,7981,2,0,Inf,2,15915,Absent,Present,PWWP,Callithrix
Callorhinchus milii,Inf,878,3,0,Inf,4,271,Absent,Present,PWWP,Callorhinchus
Callorhinus ursinus,Inf,4288,2,0,Inf,4,0,Absent,Present,PWWP,Callorhinus
Callosobruchus analis,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Callosobruchus
Callosobruchus chinensis,Inf,Inf,6,0,Inf,0,Inf,Absent,Absent,None,Callosobruchus
Callosobruchus maculatus,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Callosobruchus
Calocera cornea HHB12733,122594,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Calocera
Calocera viscosa TUFC12733,233241,55621,1,0,Inf,0,Inf,Absent,Absent,None,Calocera
Caloenas nicobarica,21458147,4233,1,0,Inf,2,21,Absent,Present,PWWP,Caloenas
Calonectris borealis,Inf,4714,1,0,Inf,2,21,Absent,Present,PWWP,Calonectris
Caloplaca aegaea,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Caloplaca
