Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Annotation Count Gene Non-coding
GCF_002220235.1	ASM222023v1	Bathycoccus prasinos		RCC 1105					Annotation submitted by Genoscope	14958006	Chromosome	11/22/12		663424	955652								Genoscope	PRJEA71363		7967	7900		67
GCF_003576645.1	ASM357664v1	Ipomoea triloba			NCNSP0323				NCBI Annotation Release 100	461827428	Chromosome	9/19/18		74663	29809665	0.94302523	0.8230252	0.12	0.003361345	0.053613447	solanales_odb10	Illumina HiSeq; PacBio	Cornell University	PRJNA428241	SAMN08285276	38585	30644	1082	6859
GCF_000219625.1	MYCGR v2.0	Zymoseptoria tritici IPO323		IPO323					Annotation submitted by DOE Joint Genome Institute	39686251	Chromosome	7/6/11	ACPE01	2665280	2674951							Sanger	DOE Joint Genome Institute	PRJNA19047	SAMN02746078	10942	10941	1	
GCF_000187245.1	Hansenula_2	Ogataea parapolymorpha DL-1		DL-1					Annotation submitted by Centre	8874589	Chromosome	12/20/13	AEOI02	1273462	1293628							454	Centre	PRJNA60503	SAMN02981294	5408	5325		83
GCF_000236905.1	ASM23690v1	Tetrapisispora phaffii CBS 4417		type strain:CBS 4417					"Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland"	12115070	Chromosome	11/17/11		249073	815984								"Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland"	PRJEA70965	SAMEA2272094	5462	5252		210
GCF_015227675.2	mRatBN7.2	Rattus norvegicus		BN/NHsdMcwi				male	GCF_015227675.2-RS_2023_06	2647899415	Chromosome	11/10/20	JACYVU01	29198295	135012528	0.99347734	0.9799971	0.013480214	0.002391651	0.004131034	glires_odb10	PacBio Sequel; 10X Genomics Chromium; BioNano; Arima Hi-C	Wellcome Sanger Institute	PRJNA662791	SAMN16261960	42049	21990	8162	11587
GCF_001433935.1	IRGSP-1.0	Oryza sativa Japonica Group			Nipponbare				NCBI Annotation Release 102	373795655	Chromosome	10/10/15		7711345	29958434	0.9922386	0.9738562	0.018382354	0.001021242	0.006740196	poales_odb10		National Institute of Agrobiological Sciences	PRJDB1747	SAMD00000397	35223	28738	1605	4880
GCF_000003025.6	Sscrofa11.1	Sus scrofa	Duroc				TJ Tabasco	female	NCBI Annotation Release 106	2501895775	Chromosome	2/7/17	AEMK02	48231277	88231837	0.9819273	0.9769029	0.005024372	0.002549681	0.015523059	cetartiodactyla_odb10	PacBio	The Swine Genome Sequencing Consortium (SGSC)	PRJNA13421	SAMN02953785	30371	20666	3084	6484
GCF_002263795.2	ARS-UCD1.3	Bos taurus	Hereford				L1 Dominette 01449 registration number 42190680	female	NCBI eukaryotic genome annotation pipeline	2711193493	Chromosome	4/11/18	NKLS02	25896116	103308737								USDA ARS	PRJNA391427	SAMN03145444	35092	20980	4564	9370
GCF_016699485.2	bGalGal1.mat.broiler.GRCg7b	Gallus gallus	Cross of Broiler mother + white leghorn layer father				bGalGal1	female	NCBI Annotation Release 106	1053315467	Chromosome	1/19/21	JAENSK01	18834961	90861225	0.99004555	0.9864476	0.003597985	0.002398657	0.007555769	aves_odb10	PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA660757	SAMN15960293	25635	18023	198	7343
GCF_902167145.1	Zm-B73-REFERENCE-NAM-5.0	Zea mays			B73				NCBI Annotation Release 103	2182075994	Chromosome	3/21/20	CABHLF01	47037903	226353449	0.9791667	0.8282271	0.15093954	0.003880719	0.016952615	poales_odb10		MaizeGDB	PRJEB32225	SAMEA5569141	49897	34337	5194	10366
GCF_000188115.5	SL3.1	Solanum lycopersicum			Heinz 1706				NCBI eukaryotic genome annotation pipeline	827361276	Chromosome	4/18/18	AEKE03	133084	66723567							454; Sanger; Illumina; SOLiD	Solanaceae Genomics Project	PRJNA119	SAMN02981290	31217	25557	1260	4396
GCF_011100685.1	UU_Cfam_GSD_1.0	Canis lupus familiaris	German Shepherd				Mischka	female	NCBI Annotation Release 106	2481983352	Chromosome	3/10/20	JAAHUQ01	14840767	64299765	0.9809681	0.9205627	0.060405463	0.00379258	0.015239277	carnivora_odb10		Uppsala University	PRJNA587469	SAMN13230619	43286	21175	5441	16461
GCF_003254725.2	ASM325472v2	Canis lupus dingo					Sandy	female	NCBI Annotation Release 102	2349862946	Chromosome	9/11/20	QKWQ02	40716615	64250934	0.97924423	0.9557992	0.023445042	0.003171976	0.017583782	carnivora_odb10	PacBio Sequel; BioNano; Illumina (10X Chromium)	James Cook University	PRJNA475652	SAMN09397198	40364	20775	4660	14803
GCF_018294505.1	IWGSC CS RefSeq v2.1	Triticum aestivum			Chinese Spring				NCBI Annotation Release 100	14566502436	Chromosome	5/6/21	JAGHKL01	341253	713360525	0.997549	0.012459151	0.9850899	0.000408497	0.002042484	poales_odb10	PacBio; Illumina HiSeq	"University of California, Davis"	PRJNA669381	SAMN16451473	155463	103787	19065	32611
GCF_003339765.1	Mmul_10	Macaca mulatta					AG07107	female	NCBI Annotation Release 103	2971314966	Chromosome	2/13/19	QNVO02	46608966	82346004	0.9933962	0.98490566	0.008490566	0.002104499	0.004499274	primates_odb10		The Genome Institute at Washington University School of Medicine	PRJNA476474	SAMN09435472	40304	21121	6997	11989
GCF_000004515.6	Glycine_max_v4.0	Glycine max			Williams 82				NCBI Annotation Release 104	978386919	Chromosome	3/10/21	ACUP04	419290	20441467	0.9932911	0.39284384	0.60044724	0.001677227	0.005031681	fabales_odb10	ABI 3739	US DOE Joint Genome Institute (JGI-PGF)	PRJNA19861	SAMN00002965	59046	47065	4760	7221
GCF_016772045.1	ARS-UI_Ramb_v2.0	Ovis aries	Rambouillet	OAR_USU_Benz2616				female	NCBI Annotation Release 104	2628130289	Chromosome	2/3/21	JAEVFA01	43178051	101274418	0.9910011	0.9693288	0.021672292	0.002624672	0.006374203	cetartiodactyla_odb10		University of Idaho	PRJNA675594	SAMN17575729	33801	21257	3624	8720
GCF_000003745.3	12X	Vitis vinifera			PN40024				NCBI Annotation Release 102	485262630	Chromosome	12/7/09	CAAP03	102674	3426264	0.99269134	0.96990544	0.022785898	0.002579536	0.004729149	eudicots_odb10		International Grape Genome Program	PRJEA18785	SAMEA2272750	29956	25834	1448	2674
GCF_007990345.1	Gossypium_hirsutum_v2.1	Gossypium hirsutum					1008001.06		NCBI Annotation Release 101	2305241538	Chromosome	2/25/21	VKGJ01	783933	108141443	0.99785036	0.08340499	0.9144454	0.000429923	0.001719691	eudicots_odb10	PacBio RSII	HudsonAlpha Genome Sequencing Center	PRJNA515894	SAMN11351207	99456	67585	6953	24917
GCF_904849725.1	MorexV3_pseudomolecules_assembly	Hordeum vulgare subsp. vulgare							NCBI Annotation Release 100	4225577519	Chromosome	4/1/21	CAJHDD01	69630691	610333535	0.98672384	0.95547384	0.03125	0.002655229	0.010620915	poales_odb10		Leibniz Institute of Plant Genetics and Crop Plant Research	PRJEB40589	SAMEA7384724	58438	31448	5778	21210
GCF_020379485.1	Da-Ae	Brassica napus			Da-Ae				NCBI Annotation Release 102	1001499700	Chromosome	10/8/21	JAGKQM01	1580367	48209797	0.99695385	0.042210616	0.95474327	0.000435161	0.002610966	brassicales_odb10	PacBio Sequel; Illumina HiSeq	None	PRJNA627442	SAMN14670173	123214	90897	9304	23012
GCF_017654675.1	Xenopus_laevis_v10.1	Xenopus laevis		J_2021				female	NCBI Annotation Release 101	2742451793	Chromosome	4/12/21	JAGEVR01	22451507	155250555	0.97495294	0.45461392	0.520339	0.005084746	0.019962335	tetrapoda_odb10	PacBio RSII	International Xenopus Sequencing Consortium	PRJNA313213	SAMN18035302	44456	34476	1836	7926
GCF_001704415.2	ARS1.2	Capra hircus	San Clemente					male	NCBI eukaryotic genome annotation pipeline	2922600443	Chromosome	8/24/16	LWLT01	26244591	87277232							PacBio	USDA ARS	PRJNA290100	SAMN03863711	28911	20572	4142	4035
GCF_003254395.2	Amel_HAv3.1	Apis mellifera		DH4				male	NCBI Annotation Release 104	225234541	Chromosome	9/10/18	QIUM02	5382476	13619445	0.9878151	0.9863128	0.001502253	0.003338341	0.008846603	hymenoptera_odb10	PacBio; 10X Chromium; Phase Genomics HiC; Bionano	Uppsala University	PRJNA471592	SAMN09259743	12398	9935	42	2421
GCF_002863925.1	EquCab3.0	Equus caballus	thoroughbred				Twilight	female	NCBI Annotation Release 103	2506949475	Chromosome	1/5/18	PJAA01	1502753	87230776	0.98970085	0.9787477	0.010953082	0.00277914	0.007520026	laurasiatheria_odb10	Sanger; Illumina HiSeq; PacBio	University of Louisville	PRJNA421018	SAMN02953672	33146	21129	2847	8893
GCF_013265735.2	USDA_OmykA_1.1	Oncorhynchus mykiss					Arlee	male	NCBI Annotation Release 101	2341671972	Chromosome	9/23/20	JAAXML02	15579713	39165350	0.99697804	0.55467033	0.44230768	0.001098901	0.001923077	actinopterygii_odb10	PacBio Sequel; BioNano; Hi-C	USDA/ARS	PRJNA623027	SAMN14537335	72772	41896	2712	28006
GCF_009806435.1	UM_NZW_1.0	Oryctolagus cuniculus	New Zealand White				DNA-2018	male	GCF_009806435.1-RS_2023_02	2841489785	Chromosome	2/4/21	VIYN02	337730	111644748	0.94810843	0.89976805	0.04834034	0.006522684	0.045368895	glires_odb10	PacBio	Shanghai Institutes for Biological Sciences	PRJNA274594	SAMN12179861	37497	22458	6161	8764
GCF_012559485.2	MFA1912RKSv2	Macaca fascicularis					CE1976F		NCBI Annotation Release 102	2800882497	Chromosome	10/26/21	BLPH02	26251577	149803873	0.98563135	0.9735849	0.012046444	0.003483309	0.010885341	primates_odb10	PacBio sequel; Illumina HiSeq X; MGI-seq 2000	Keio University / RIKEN	PRJDB9269	SAMD00204697	35561	21335	5756	8264
GCF_000309985.2	CAAS_Brap_v3.01	Brassica rapa			Chiifu-401-42				NCBI Annotation Release 103.20201202	352829610	Chromosome	1/23/20	AENI03	1386548	28928902							PacBio RSII	"Brassica rapa genome sequencing project, BraGSP"	PRJNA59981	SAMN02981293	51589	41403	1869	8317
GCF_014905235.1	Bmori_2016v1.0	Bombyx mori		p50T					NCBI Annotation Release 103	460334017	Chromosome	10/13/20	BHWX01	12201325	16796068	0.9892168	0.9791903	0.010026485	0.00189179	0.008891411	lepidoptera_odb10	PacBio RS II; Illumina HiSeq 2500	"Graduate School of Agricultural and Life Sciences, The University of Tokyo"	PRJDB4947	SAMD00054089	17047	13881	376	2783
GCF_003473485.1	MtrunA17r5.0-ANR	Medicago truncatula			Jemalong A17				NCBI Annotation Release 102	429612362	Chromosome	9/12/18	PSQE01	23305320	56236587	0.99310476	0.96645546	0.026649274	0.002795378	0.004099888	fabales_odb10		INRA/CNRS	PRJNA431767	SAMN08400029	39589	31927	1618	6044
GCF_000003195.3	Sorghum_bicolor_NCBIv3	Sorghum bicolor			BTx623				NCBI Annotation Release 101	708735318	Chromosome	4/7/17	ABXC03	1310030	68658214	0.9965278	0.98386437	0.012663399	0.000612745	0.002859477	poales_odb10	Sanger; Illumina	Sorghum Consortium	PRJNA13876	SAMN02953738	32945	28236	1248	3461
GCF_002114115.1	ASM211411v1	Malus domestica			Golden Delicious		X9273 #13		NCBI Annotation Release 102	702961352	Chromosome	5/3/17	MJAX01	588895	37631755	0.97807395	0.60748065	0.37059328	0.004729149	0.017196905	eudicots_odb10	Illumina; PacBio; BioNano	IRHS	PRJNA339703	SAMN05603590	45408	35926	3746	5736
GCF_002204515.2	AaegL5.0	Aedes aegypti		LVP_AGWG				male	NCBI Annotation Release 101	1278715314	Chromosome	6/22/17	NIGP01	11758062	409777670	0.9929985	0.9537291	0.039269406	0.001826484	0.005175038	diptera_odb10	PacBio	Aedes aegypti Genome Working Group (AGWG)	PRJNA318737	SAMN07177802	19623	14626	382	4615
GCF_000002595.2	Chlamydomonas_reinhardtii_v5.5	Chlamydomonas reinhardtii		CC-503 cw92 mt+					Annotation submitted by DOE Joint Genome Institute	111098438	Chromosome	1/26/18	ABCN02	215409	7783580							ABI 3739	DOE Joint Genome Institute	PRJNA12260	SAMN02953692	17742	17742		
GCF_000004075.3	Cucumber_9930_V3	Cucumis sativus			9930				NCBI Annotation Release 102	224801081	Chromosome	11/15/19	ACHR03	8937712	31125843	0.9810834	0.9531384	0.027944969	0.003439381	0.015477214	eudicots_odb10	PacBio RSII; PacBio Sequel; 10X Genomics; Hi-C; Illumina	The Cucumber Genome Initiative	PRJNA33619	SAMN02953750	23999	20040	370	3589
GCF_000002655.1	ASM265v1	Aspergillus fumigatus Af293		Af293					Annotation submitted by J. Craig Venter Institute	29384958	Chromosome	6/10/05	AAHF01	2460113	3948441								J. Craig Venter Institute	PRJNA131	SAMN00115746	9915	9630	57	228
GCF_905237065.1	Ssal_v3.1	Salmo salar							NCBI Annotation Release 102	2756584103	Chromosome	4/21/21	CAJNNT02	28058890	28058890	0.9934066	0.54285717	0.45054945	0.004120879	0.002472528	actinopterygii_odb10		NORWEGIAN UNIVERSITY OF LIFE SCIENCES	PRJEB43080	SAMEA8062739	65343	42985	4337	17894
GCF_003086295.2	arahy.Tifrunner.gnm1.KYV3	Arachis hypogaea			Tifrunner				NCBI Annotation Release 101	2556916893	Chromosome	5/30/18	PIVG01	1498096	135150084	0.9824823	0.04994409	0.9325382	0.000745434	0.01677227	fabales_odb10	PacBio	International Peanut Genome Initiative	PRJNA419393	SAMN08051159	109230	65846	4895	38489
GCF_000006565.2	TGA4	Toxoplasma gondii ME49		ME49					Annotation submitted by J. Craig Venter Institute	65633124	Chromosome	8/2/13	ABPA02	1219553	4973582							454 GS FLX Titanium; Sanger	J. Craig Venter Institute	PRJNA28893	SAMN00255192	8925	8318		607
GCF_000346465.2	Prunus_persica_NCBIv2	Prunus persica			Lovell				NCBI Annotation Release 100	227411381	Chromosome	2/2/17	AKXU02	255416	27368013	0.99312127	0.97936374	0.013757524	0.001719691	0.005159071	eudicots_odb10	ABI 3739	PGF	PRJNA31227	SAMN02981429	26412	23135	1384	1893
GCF_000182925.2	NC12	Neurospora crassa OR74A		OR74A					Annotation submitted by Broad Institute	41037538	Chromosome	10/25/13	AABX03	656009	6000761							Sanger; 454	Broad Institute	PRJNA13841	SAMN02953583	10590	9757	18	815
GCF_000499845.1	PhaVulg1_0	Phaseolus vulgaris			G19833				Annotation submitted by JGI	521076696	Chromosome	11/29/13	ANNZ01	39053	50367376							ABI 3730; Roche 454 FLX; Illumina GAII	JGI	PRJNA41439	SAMN02981484	28134	28134		
GCF_002878395.1	UCD10Xv1.1	Capsicum annuum			UCD-10X-F1				NCBI Annotation Release 101	3211819707	Chromosome	1/30/18	NPHV01	122789	227195441	0.9890756	0.9628571	0.026218487	0.002857143	0.008067227	solanales_odb10	Illumina HiSeq	"University of California, Davis"	PRJNA376668	SAMN06445824	48341	32202	5748	10390
GCF_015476345.1	ZJU1.0	Anas platyrhynchos	Pekin duck				Z2	pooled male and female	NCBI Annotation Release 104	1188516685	Chromosome	11/23/20	JACGAL01	5679408	76269206	0.99016553	0.9784121	0.011753419	0.003478052	0.006356441	aves_odb10	PacBio RSII; PacBio Sequel	Zhejiang University	PRJNA636121	SAMN15588841	25093	16836	243	7966
GCF_001858045.2	O_niloticus_UMD_NMBU	Oreochromis niloticus					F11D_XX	female	NCBI Annotation Release 104	1005664923	Chromosome	6/29/18	MKQE02	2923640	38839487	0.99697804	0.99065936	0.006318681	0.001373626	0.001648352	actinopterygii_odb10	PacBio	University of Maryland	PRJNA344471	SAMN05859795	42646	29550	689	12054
GCF_000002495.2	MG8	Pyricularia oryzae 70-15		70-15					Annotation submitted by International Rice Blast Genome Consortium	40979121	Chromosome	10/14/11	AACU03	823590	6606598							Sanger ABI	International Rice Blast Genome Consortium	PRJNA13840	SAMN02953596	13184	12825	131	228
GCF_000002445.2	ASM244v1	Trypanosoma brucei brucei TREU927		927/4 GUTat10.1			927/4 GUTat10.1		Annotation submitted by Trypanosoma brucei consortium	26075494	Chromosome	12/14/05		1653115	2481190								Trypanosoma brucei consortium	PRJNA11756	SAMN02953625	10221	8758	907	556
GCF_000004195.4	UCB_Xtro_10.0	Xenopus tropicalis		Nigerian				female	NCBI Annotation Release 104	1451283599	Chromosome	11/14/19	AAMC04	14634335	153961319	0.96572506	0.9502825	0.015442561	0.006403013	0.02787194	tetrapoda_odb10	PacBio Sequel; Illumina HiSeq	"University of California, Berkeley"	PRJNA577946	SAMN13041969	28858	21826	571	6388
GCF_902806645.1	cgigas_uk_roslin_v1	Crassostrea gigas							NCBI Annotation Release 102	647887097	Chromosome	2/19/20	CADCXH01	1564469	58462999	0.9843248	0.9395656	0.044759206	0.003588291	0.012086875	mollusca_odb10		THE ROSLIN INSTITUTE	PRJEB35351	SAMEA6259236	38296	31371	88	6837
GCF_000240135.3	ASM24013v3	Fusarium graminearum PH-1		PH-1; NRRL 31084					Annotation submitted by International Gibberella zeae Genomics Consortium	36458046	Chromosome	11/21/08	AACM02	184591	5350016								International Gibberella zeae Genomics Consortium	PRJNA13839	SAMN02953593	13726	13313	11	402
GCF_000695525.1	BOL	Brassica oleracea var. oleracea			TO1000				NCBI Annotation Release 100	488593889	Chromosome	5/27/14	JJMF01	21920	48366697	0.9945605	0.8996954	0.0948651	0.001958225	0.003481288	brassicales_odb10	Illumina GAII; Illumina HiSeq; 454	CanSeq	PRJNA217459	SAMN02584321	53125	44382	4495	4248
GCF_025177605.1	USDA_Cmelo_AY_1.0	Cucumis melo			AY				NCBI Annotation Release 102	438252206	Chromosome	9/14/22	JANHKN01	10465369	30457480	0.98194325	0.96861565	0.013327601	0.003009458	0.015047291	eudicots_odb10	PacBio HiFi Sequel II	USDA-ARS	PRJNA844271	SAMN29843731	28628	20741	530	7357
GCF_018350175.1	F.catus_Fca126_mat1.0	Felis catus					Fca126	female	NCBI Annotation Release 105	2425730029	Chromosome	5/13/21	JAFEKA01	90731473	148491486	0.9884154	0.98110604	0.007309337	0.002137636	0.009446973	carnivora_odb10	PacBio Sequel 2	Texas A&M University	PRJNA684600	SAMN19729387	39307	20453	3620	15137
GCF_000005575.2	AgamP3	Anopheles gambiae str. PEST		PEST					Annotation submitted by The International Consortium for the Sequencing of Anopheles Genome	265011681	Chromosome	10/16/06	AAAB01	85548	12309988								The International Consortium for the Sequencing of Anopheles Genome	PRJNA1438	SAMN02952903	13271	12603		668
GCF_023101765.2	AGI-APGP_CSIRO_Sfru_2.0	Spodoptera frugiperda					SF20-4		NCBI Annotation Release 102	383907753	Chromosome	8/26/22	JAKUHG02	4914980	13003764	0.99583805	0.98335224	0.012485812	0.000756716	0.003405221	lepidoptera_odb10	Oxford Nanopore PromethION; Illumina NovaSeq	Australian Pest Genome Partnership	PRJNA809428	SAMN26179013	16908	14679	139	2090
GCF_001659605.2	M.esculenta_v8	Manihot esculenta			AM560-2				NCBI Annotation Release 101	639586700	Chromosome	8/13/21	LTYI02	3258867	29151420	0.99527085	0.9183147	0.076956145	0.002149613	0.002579536	eudicots_odb10	PacBio RSII; Sequel	DOE-Joint Genome Institute	PRJNA234389	SAMN04116956	34312	29735	1208	3366
GCF_000002425.4	Phypa V3	Physcomitrium patens				Gransden 2004			NCBI Annotation Release 100	471852792	Chromosome	1/24/18	ABEU02	465069	17435539	0.8890954	0.74969023	0.1394052	0.011771995	0.09913259	embryophyta_odb10	Sanger	Moss Genome Consortium	PRJNA13064	SAMN00120126	23747	20454	473	2820
GCF_000331145.1	ASM33114v1	Cicer arietinum			CDC Frontier				NCBI Annotation Release 102	530768543	Chromosome	1/16/13	ANPC01	34090	697963	0.98937756	0.9742825	0.015095043	0.001863586	0.008758852	fabales_odb10	Illumina Hiseq 2000	BGI-Shenzhen	PRJNA175619	SAMN02981489	30344	25037	1464	3843
GCF_000247795.1	Bos_indicus_1.0	Bos indicus	Nelore				QUIL7308	male	NCBI Annotation Release 100	2673949103	Chromosome	11/25/14	AGFL01	28375	106310653	0.92898387	0.9193101	0.009673791	0.020922385	0.050093736	cetartiodactyla_odb10	SOLiD	Genoa Biotecnologia SA   	PRJNA72827	SAMN02953802	26229	19786	3512	2804
